DATE,EVENT
4/12/1918,"Battle of Hazebrouck, a phase of Operation Georgette."
4/13/1918,"Battle of Bailleul, a phase of Operation Georgette."
4/17/1918,"First Battle of Kemmelberg, a phase of Operation Georgette."
4/18/1918,"Battle of Bethune, a phase of Operation Georgette."
4/24/1918,"Second Battle of Villers-Bretonneux, a phase of Operation Georgette."
4/25/1918,"Second Battle of Kemmelberg, a phase of Operation Georgette."
4/29/1918,"Battle of Scherpenberg, final phase of Operation Georgette."
4/30/1918,Second Transjordan attack on Shunet Nimrin and Es Salt.
5/7/1918,Treaty of Bucharest between Romania and the Central Powers. It will never be ratified.
5/10/1918,Battle of Kaniow.
5/21/1918,"Battle of Abaran, a phase of the invasion of Armenia."
5/21/1918,"Battle of Sardarabad, a phase of the invasion of Armenia."
